ID;name;slug;lat;lng;codice_provincia_istat;codice_comune_istat;codice_alfanumerico_istat;capoluogo_provincia;capoluogo_regione
629;Monteu Roero;monteu-roero;447.803;79.375;4;140;4140;0;0
630;Montezemolo;montezemolo;443.781;81.414;4;141;4141;0;0
631;Monticello d'Alba;monticello-dalba;44.719;79.437;4;142;4142;0;0
632;Moretta;moretta;447.648;75.383;4;143;4143;0;0
633;Morozzo;morozzo;444.231;77.101;4;144;4144;0;0
634;Murazzano;murazzano;44.474;80.205;4;145;4145;0;0
635;Murello;murello;447.531;7.602;4;146;4146;0;0
636;Narzole;narzole;445.964;78.709;4;147;4147;0;0
637;Neive;neive;447.264;81.158;4;148;4148;0;0
638;Neviglie;neviglie;446.922;8.118;4;149;4149;0;0
639;Niella Belbo;niella-belbo;445.138;80.805;4;150;4150;0;0
640;Niella Tanaro;niella-tanaro;444.138;79.235;4;151;4151;0;0
641;Novello;novello;445.888;79.275;4;152;4152;0;0
642;Nucetto;nucetto;443.419;8.061;4;153;4153;0;0
643;Oncino;oncino;446.762;71.905;4;154;4154;0;0
644;Ormea;ormea;441.485;79.136;4;155;4155;0;0
645;Ostana;ostana;446.931;71.868;4;156;4156;0;0
646;Paesana;paesana;446.863;72.759;4;157;4157;0;0
647;Pagno;pagno;446.128;74.269;4;158;4158;0;0
648;Pamparato;pamparato;442.777;79.136;4;159;4159;0;0
649;Paroldo;paroldo;444.331;80.736;4;160;4160;0;0
650;Perletto;perletto;446.003;82.142;4;161;4161;0;0
651;Perlo;perlo;443.328;80.836;4;162;4162;0;0
652;Peveragno;peveragno;443.325;76.209;4;163;4163;0;0
653;Pezzolo Valle Uzzone;pezzolo-valle-uzzone;445.398;81.948;4;164;4164;0;0
654;Pianfei;pianfei;443.731;77.125;4;165;4165;0;0
655;Piasco;piasco;445.641;7.455;4;166;4166;0;0
656;Pietraporzio;pietraporzio;443.445;70.318;4;167;4167;0;0
657;Piobesi d'Alba;piobesi-dalba;447.363;79.808;4;168;4168;0;0
658;Piozzo;piozzo;445.148;78.938;4;169;4169;0;0
659;Pocapaglia;pocapaglia;447.162;78.841;4;170;4170;0;0
660;Polonghera;polonghera;448.035;75.969;4;171;4171;0;0
661;Pontechianale;pontechianale;44.647;69.989;4;172;4172;0;0
662;Pradleves;pradleves;444.188;72.814;4;173;4173;0;0
663;Prazzo;prazzo;444.832;7.056;4;174;4174;0;0
664;Priero;priero;443.754;80.958;4;175;4175;0;0
